lsl_timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,marker
794590.534057416,-21550.859375,-12355.59765625,-29757.591796875,-5682.841796875,-32253.388671875,-28471.875,-22320.98828125,-13147.4970703125,
794590.538057416,-21543.953125,-12345.94140625,-29749.3671875,-5667.70947265625,-32240.537109375,-28462.578125,-22309.8125,-13093.40625,
794590.5420574159,-21543.103515625,-12344.578125,-29754.732421875,-5650.4091796875,-32234.724609375,-28462.3984375,-22304.447265625,-13083.4150390625,
794590.5460574159,-21550.814453125,-12346.6787109375,-29761.50390625,-5673.07373046875,-32231.7734375,-28469.640625,-22307.421875,-13092.7578125,
794590.5500574159,-21562.548828125,-12355.5751953125,-29773.328125,-5697.10205078125,-32235.953125,-28482.40234375,-22319.53515625,-13111.890625,
794590.5540574158,-21566.52734375,-12352.04296875,-29774.6015625,-5684.94287109375,-32230.56640625,-28484.28125,-22318.484375,-13119.9375,
794590.5580574158,-21572.96484375,-12354.0771484375,-29783.966796875,-5654.0302734375,-32233.025390625,-28492.57421875,-22319.580078125,-13130.0625,
794590.5620574157,-21578.732421875,-12355.0166015625,-29793.310546875,-5661.13818359375,-32234.9921875,-28501.55859375,-22322.330078125,-13136.544921875,
794590.5660574157,-21576.5859375,-12350.7919921875,-29797.04296875,-5677.07470703125,-32228.82421875,-28499.703125,-22320.072265625,-13129.59375,
794590.5700574156,-21580.744140625,-12352.5126953125,-29805.873046875,-5675.95751953125,-32230.478515625,-28501.693359375,-22324.609375,-13129.458984375,
794590.5517053751,-21579.447265625,-12344.0634765625,-29806.4765625,-5645.73779296875,-32226.90234375,-28496.998046875,-22318.26171875,-13122.91015625,
794590.555705375,-21585.03515625,-12348.6455078125,-29819.6640625,-5647.14599609375,-32237.40625,-28503.8828125,-22323.0,-13120.384765625,
794590.559705375,-21587.158203125,-12353.7421875,-29828.3359375,-5681.07568359375,-32246.236328125,-28509.44921875,-22328.3203125,-13115.7578125,
794590.563705375,-21586.5546875,-12355.1953125,-29829.609375,-5686.9990234375,-32249.4765625,-28510.6328125,-22330.376953125,-13119.625,
794590.5677053749,-21590.041015625,-12360.89453125,-29833.56640625,-5658.9697265625,-32256.00390625,-28515.39453125,-22335.896484375,-13127.9169921875,
794590.5717053749,-21589.19140625,-12356.2451171875,-29827.978515625,-5653.0244140625,-32251.33203125,-28507.125,-22328.365234375,-13122.2841796875,
794590.5757053748,-21593.57421875,-12360.89453125,-29833.521484375,-5681.94775390625,-32256.16015625,-28509.091796875,-22334.220703125,-13129.2138671875,
794590.5797053748,-21594.6015625,-12361.2744140625,-29830.28125,-5693.30224609375,-32255.04296875,-28506.498046875,-22334.958984375,-13132.9912109375,
794590.5837053747,-21593.171875,-12358.771484375,-29826.66015625,-5669.72119140625,-32252.806640625,-28501.447265625,-22330.0625,-13134.1982421875,
794590.5877053747,-21591.806640625,-12355.8212890625,-29824.826171875,-5654.41015625,-32253.25390625,-28495.14453125,-22322.955078125,-13131.404296875,
794590.585993125,-21597.57421875,-12356.1787109375,-29823.888671875,-5679.01953125,-32258.998046875,-28494.271484375,-22322.93359375,-13135.583984375,
794590.589993125,-21596.568359375,-12350.27734375,-29818.232421875,-5697.638671875,-32255.802734375,-28487.41015625,-22321.16796875,-13135.6064453125,
794590.5939931249,-21584.990234375,-12338.990234375,-29808.533203125,-5676.31494140625,-32245.587890625,-28473.529296875,-22309.767578125,-13125.7041015625,
794590.5979931249,-21589.818359375,-12345.896484375,-29815.640625,-5660.400390625,-32258.015625,-28479.474609375,-22316.048828125,-13132.6552734375,
794590.6019931248,-21601.26171875,-12357.6982421875,-29827.53125,-5689.6142578125,-32273.103515625,-28489.890625,-22327.380859375,-13143.98828125,
794590.6059931248,-21597.775390625,-12353.4287109375,-29819.373046875,-5718.06787109375,-32267.939453125,-28480.34765625,-22323.423828125,-13139.2275390625,
794590.6099931247,-21599.630859375,-12358.1904296875,-29823.775390625,-5713.798828125,-32275.115234375,-28481.30859375,-22328.587890625,-13139.2275390625,
794590.6139931247,-21594.4453125,-12357.5869140625,-29826.97265625,-5698.68896484375,-32276.41015625,-28479.05078125,-22326.15234375,-13134.64453125,
794590.6179931246,-21602.3125,-12370.662109375,-29837.947265625,-5721.84521484375,-32291.095703125,-28493.265625,-22339.048828125,-13149.93359375,
794590.6219931246,-21600.97265625,-12370.7744140625,-29835.466796875,-5754.07666015625,-32291.38671875,-28492.796875,-22341.73046875,-13165.490234375,
794590.620682125,-21597.060546875,-12365.677734375,-29831.041015625,-5763.03955078125,-32294.626953125,-28487.1875,-22339.96484375,-13139.4501953125,
794590.6246821249,-21607.56640625,-12374.841796875,-29840.337890625,-5747.818359375,-32306.67578125,-28494.25,-22348.19140625,-13145.4404296875,
794590.6286821249,-21606.962890625,-12376.138671875,-29842.23828125,-5764.09033203125,-32308.865234375,-28492.796875,-22347.876953125,-13160.7294921875,
794590.6326821249,-21616.169921875,-12379.826171875,-29841.34375,-5798.04248046875,-32313.3359375,-28492.931640625,-22352.056640625,-13181.494140625,
794590.6366821248,-21606.224609375,-12372.00390625,-29834.794921875,-5810.47021484375,-32307.009765625,-28484.1015625,-22345.84375,-13196.2685546875,
794590.6406821248,-21604.615234375,-12371.4892578125,-29838.05859375,-5794.734375,-32302.78515625,-28482.158203125,-22344.16796875,-13206.7744140625,
794590.6446821247,-21608.705078125,-12372.1826171875,-29842.462890625,-5801.26123046875,-32304.73046875,-28482.560546875,-22342.490234375,-13177.1806640625,
794590.6486821247,-21606.08984375,-12377.546875,-29849.546875,-5829.82666015625,-32313.4921875,-28489.712890625,-22348.771484375,-13185.8525390625,
794590.6526821246,-21614.181640625,-12384.587890625,-29856.4765625,-5837.64990234375,-32317.359375,-28500.619140625,-22358.5390625,-13223.314453125,
