model_file,feature_type,classifier,exclude_s3,channels,accuracy,precision,recall,f1
aggregate_csp_bp_model_no_s3_rf.pkl,csp_bp,rf,True,all,0.9971566054243219,0.9971588731779454,0.9971566054243219,0.9971565462312022
aggregate_csp_bp_model_rf.pkl,csp_bp,rf,False,all,0.9913169319826338,0.9913278397033524,0.9913169319826338,0.9913160154552185
aggregate_csp_bp_model_no_s3_ch2_3_6_7_rf.pkl,csp_bp,rf,True,ch2,0.9820647419072616,0.9821793585180999,0.9820647419072616,0.9820610946274453
aggregate_csp_bp_model_ch2_3_6_7_rf.pkl,csp_bp,rf,False,ch2,0.9819102749638206,0.9820111040264142,0.9819102749638206,0.981903846430231
aggregate_csp_model_no_s3_ch2_3_6_7_rf.pkl,csp_only,rf,True,ch2,0.9437882764654418,0.9438105695075203,0.9437882764654418,0.9437831134737587
aggregate_csp_model_no_s3_rf.pkl,csp_only,rf,True,all,0.9297900262467191,0.9306177882343981,0.9297900262467191,0.9297851391151025
aggregate_csp_bp_model_no_s3_ch3_6_rf.pkl,csp_bp,rf,True,ch3,0.9162292213473315,0.9173213202814035,0.9162292213473315,0.9161305891882936
aggregate_csp_model_ch2_3_6_7_rf.pkl,csp_only,rf,False,ch2,0.9100940665701881,0.9111051688952863,0.9100940665701881,0.9099333617433818
aggregate_csp_bp_model_ch3_6_rf.pkl,csp_bp,rf,False,ch3,0.8938133140376266,0.8951432250207919,0.8938133140376266,0.8935743530705086
aggregate_csp_model_rf.pkl,csp_only,rf,False,all,0.8918234442836469,0.892151088942936,0.8918234442836469,0.8917170768828668
aggregate_csp_model_no_s3_ch3_6_rf.pkl,csp_only,rf,True,ch3,0.881233595800525,0.8814649183597073,0.881233595800525,0.8811816408708474
aggregate_csp_model_ch3_6_rf.pkl,csp_only,rf,False,ch3,0.8317655571635311,0.8318629988714555,0.8317655571635311,0.831630638241853
aggregate_csp_bp_model_svm.pkl,csp_bp,svm,False,all,0.7934153400868307,0.7936441171766615,0.7934153400868307,0.7934699050439602
